rate,pop_idx,pop_name,n_trials_with_both_peaks,f0_hz_mean,f0_hz_std,flow_hz_mean,flow_hz_std,flow_over_f0_mean,flow_over_f0_std,flow_over_f0_sem,freq_resolution_hz_mean,consistent_with_0.5_subharmonic
05.76,7,L6I,10.0,77.4658203125,1.4376914224006414,39.3798828125,2.2109371645103053,0.5083091006415701,0.026235310165197062,0.008296333524299105,0.244140625,False
06.02,0,L23E,10.0,78.5888671875,2.815449427941499,38.330078125,1.8450169350186578,0.48834022375859093,0.030063290933362397,0.009506847330971449,0.244140625,False
06.02,1,L23I,10.0,80.2490234375,2.1746947891627983,38.5986328125,2.493609632186826,0.48094048564031705,0.02712036264851796,0.008576211693907328,0.244140625,False
06.02,2,L4E,10.0,79.9072265625,1.7644685542020588,38.525390625,2.1339622444738433,0.4823408293422996,0.028737366366932807,0.009087553167422576,0.244140625,False
06.02,3,L4I,10.0,78.1005859375,2.011425075061795,39.4775390625,1.915635481158028,0.5059984004399574,0.03188730442888577,0.010083651043845369,0.244140625,False
06.02,4,L5E,10.0,77.9052734375,1.2630984357871542,38.0615234375,1.7280603876158582,0.4885527797004684,0.02039419253092106,0.006449209943770448,0.244140625,False
06.02,5,L5I,10.0,80.322265625,2.313260156828108,39.501953125,1.9524467138187533,0.49245673734510154,0.03335300990868193,0.010547147813359947,0.244140625,False
06.02,6,L6E,10.0,80.17578125,1.8671393749609357,38.916015625,1.9907402150287312,0.4857082683983075,0.02882215779067107,0.009114366569928714,0.244140625,False
06.02,7,L6I,10.0,78.125,2.0587745183387884,38.623046875,1.9524467138187533,0.49488399445069337,0.03198072527349236,0.010113193308834718,0.244140625,False
06.27,0,L23E,10.0,79.1748046875,2.4415418799131627,38.5498046875,2.1015956266266937,0.4877491131662392,0.03754513386652005,0.01187281380741276,0.244140625,False
06.27,1,L23I,10.0,79.6142578125,2.291542974659632,39.16015625,2.088159692704378,0.4920304602937769,0.02576514913114314,0.008147655550832068,0.244140625,False
06.27,2,L4E,10.0,80.517578125,2.3411489111144954,39.599609375,2.4435754252391035,0.4920301705636597,0.03092044018519026,0.009777901724019978,0.244140625,False
06.27,3,L4I,10.0,78.7353515625,1.6767088035511486,39.013671875,2.25468710146441,0.49561070429500403,0.028698400640556773,0.009075231122819459,0.244140625,False
06.27,4,L5E,10.0,79.98046875,2.826600696105783,40.4296875,2.7288471840575466,0.5064370161942067,0.04411077158694681,0.013949050756219198,0.244140625,False
06.27,5,L5I,10.0,77.685546875,1.7560031196954657,39.404296875,1.9264948865788154,0.5073819794635984,0.02568350621080629,0.008121837792522854,0.244140625,False
06.27,6,L6E,10.0,79.0771484375,2.1141632113731097,39.8193359375,2.3877846238054077,0.5040408341545513,0.03603216327333758,0.011394370496681497,0.244140625,False
