rate,trial,pop_idx,pop_name,fs,n_samples,freq_resolution_hz,f0_hz,f0_power,flow_hz,flow_power,flow_over_f0
05.0,3,4,L5E,1000.0,300000,0.244140625,83.0078125,0.010376930042024765,41.9921875,0.04112941272365501,0.5058823529411764
05.0,3,5,L5I,1000.0,300000,0.244140625,79.1015625,0.0011542464163030702,43.45703125,0.003915677083045175,0.5493827160493827
05.0,3,6,L6E,1000.0,300000,0.244140625,76.66015625,0.012960901115183159,43.45703125,0.03881047318025102,0.5668789808917197
05.0,3,7,L6I,1000.0,300000,0.244140625,82.763671875,0.0033975491917754464,38.57421875,0.013290142567557025,0.46607669616519176
05.0,4,0,L23E,1000.0,300000,0.244140625,81.787109375,0.000318555931988082,40.0390625,0.00111405502735102,0.48955223880597015
05.0,4,1,L23I,1000.0,300000,0.244140625,76.904296875,0.002232015851617204,36.1328125,0.007312001060757403,0.46984126984126984
05.0,4,2,L4E,1000.0,300000,0.244140625,82.51953125,0.008755647329497738,38.57421875,0.034486884033202055,0.46745562130177515
05.0,4,3,L4I,1000.0,300000,0.244140625,81.787109375,0.004477285010878204,39.794921875,0.01763290153822443,0.48656716417910445
05.0,4,4,L5E,1000.0,300000,0.244140625,80.810546875,0.012321574851826226,39.0625,0.04325783010791996,0.48338368580060426
05.0,4,5,L5I,1000.0,300000,0.244140625,80.810546875,0.001452451126200015,40.52734375,0.00490438871128045,0.5015105740181269
05.0,4,6,L6E,1000.0,300000,0.244140625,80.078125,0.01200252021589248,42.724609375,0.03208142511638428,0.5335365853658537
05.0,4,7,L6I,1000.0,300000,0.244140625,78.369140625,0.004744915591457749,42.724609375,0.014940154398678613,0.5451713395638629
05.0,5,0,L23E,1000.0,300000,0.244140625,75.927734375,0.00016887500947630394,43.212890625,0.0004162937256703147,0.5691318327974276
05.0,5,1,L23I,1000.0,300000,0.244140625,76.171875,0.0019004473779721,39.794921875,0.0057637669593955205,0.5224358974358975
05.0,5,2,L4E,1000.0,300000,0.244140625,76.66015625,0.009183696837015988,39.794921875,0.028325376020010236,0.5191082802547771
05.0,5,3,L4I,1000.0,300000,0.244140625,76.904296875,0.005442945352927967,38.0859375,0.01610681696733826,0.49523809523809526
05.0,5,4,L5E,1000.0,300000,0.244140625,77.1484375,0.015199813580254571,38.0859375,0.04343848864491363,0.4936708860759494
